Offset,K1,K2,K3,K4,K5,K6,K7
27055,0,0,0,0,0,0,1
27104,0,0,0,0,0,0,0
27220,0,0,0,0,0,1,0
27256,0,0,0,0,0,0,0
27385,0,0,0,1,0,0,0
27436,0,0,0,0,0,0,0
27548,1,0,0,0,0,0,0
27551,1,0,0,0,0,0,1
27554,1,0,1,0,0,0,1
27604,1,0,1,0,0,0,0
27608,1,0,0,0,0,0,0
27611,0,0,0,0,0,0,0
27725,0,0,0,0,1,0,0
27801,0,0,0,0,0,0,0
27819,0,0,0,0,0,1,0
27890,1,0,0,0,0,1,0
27892,1,0,0,1,0,1,0
27894,1,0,0,1,0,1,1
27917,1,0,0,1,0,0,1
27951,0,0,0,1,0,0,1
27954,0,0,0,1,0,0,0
27975,0,0,0,0,0,0,0
27988,0,1,0,0,0,0,0
28008,0,1,0,0,0,1,0
28038,0,0,0,0,0,1,0
28064,0,0,0,0,0,0,0
28102,0,1,0,0,0,0,0
28109,0,1,0,0,1,0,0
28163,0,0,0,0,1,0,0
28173,0,0,0,0,0,0,0
28545,0,1,0,0,0,0,0
28548,1,1,0,1,0,0,0
28552,1,1,0,1,0,1,0
28589,1,1,0,1,0,0,0
28591,1,0,0,1,0,0,0
28595,0,0,0,1,0,0,0
28609,0,0,0,0,0,0,0
28724,0,0,0,0,1,0,0
28782,0,0,0,0,0,0,0
28893,1,0,0,0,0,0,0
28965,0,0,0,0,0,0,0
28979,0,0,1,0,0,0,0
29041,0,0,0,0,0,0,0
29069,0,0,0,1,0,0,0
29136,0,0,0,0,0,0,0
29146,0,0,0,0,0,1,0
29209,0,0,0,0,0,0,0
29233,0,0,0,0,1,0,0
29295,0,0,0,0,0,0,0
29395,0,0,0,0,0,0,1
29397,0,1,0,0,0,0,1
29399,1,1,0,0,0,0,1
29406,1,1,0,1,0,0,1
29446,0,0,0,1,0,0,1
29456,0,0,0,1,0,0,0
29463,0,0,0,0,0,0,0
29648,0,0,0,0,1,0,0
29712,0,0,0,0,0,0,0
29724,0,0,0,0,0,1,0
29779,0,0,0,0,0,0,0
29980,0,0,0,0,1,0,0
30045,0,0,0,0,0,0,0
30053,0,0,0,0,0,0,1
30114,0,0,0,0,0,0,0
30224,0,1,0,0,0,0,0
30226,0,1,0,0,0,1,0
30229,1,1,0,0,0,1,0
30276,1,1,0,0,0,0,0
30279,0,1,0,0,0,0,0
30281,0,0,0,0,0,0,0
30391,0,0,0,0,1,0,0
30443,0,0,0,0,0,0,0
30479,0,0,1,0,0,0,0
30539,0,0,1,0,0,0,1
30548,0,0,1,1,0,0,1
30561,0,1,0,1,0,0,1
30586,0,1,0,1,0,0,0
30606,0,1,0,0,0,0,0
30631,0,0,0,0,0,0,0
30673,0,0,1,0,0,0,0
30685,0,0,1,0,0,1,0
30733,0,0,0,0,0,1,0
30753,0,0,0,0,0,0,0
30782,0,1,0,0,1,0,0
30845,0,1,0,0,0,0,0
30849,0,0,0,0,0,0,0
30905,1,0,0,1,0,0,0
30909,1,0,0,1,0,1,0
30955,1,0,0,1,0,0,0
30973,0,0,0,0,0,0,0
31143,0,0,0,0,1,0,0
31201,0,0,0,0,0,0,0
31220,0,1,0,0,0,0,0
31231,1,1,0,0,0,0,0
31279,1,0,0,0,0,0,0
31281,0,0,0,0,0,0,0
31388,0,0,1,0,0,0,0
31452,0,0,0,0,0,0,0
31545,0,1,0,0,0,0,0
31555,0,1,0,1,0,0,0
31611,0,0,0,1,0,0,0
31624,0,0,0,0,0,0,0
31713,0,0,1,0,0,0,0
31721,0,0,1,0,1,0,0
31770,0,0,1,0,0,0,0
31782,0,0,0,0,0,0,0
31888,0,1,0,0,0,0,0
31899,0,1,0,0,0,1,0
31941,0,1,0,0,0,0,0
31946,0,0,0,0,0,0,0
32053,0,0,1,0,1,0,0
32104,0,0,1,0,0,0,0
32123,0,0,0,0,0,0,0
32222,0,0,0,1,0,1,0
32231,1,0,0,1,0,1,0
32256,1,0,0,1,0,0,0
32281,1,0,0,0,0,0,0
32286,0,0,0,0,0,0,0
32396,0,0,1,0,1,0,0
32405,1,0,1,0,1,0,0
32449,1,0,1,0,0,0,0
32453,1,0,0,0,0,0,0
32461,0,0,0,0,0,0,0
32556,0,0,0,0,0,0,1
32567,0,1,0,0,0,0,1
32569,0,1,0,1,0,0,1
32611,0,1,0,1,0,0,0
32623,0,1,0,0,0,0,0
32629,0,0,0,0,0,0,0
32729,0,0,0,0,1,0,0
32731,0,0,0,0,1,0,1
32737,0,0,1,0,1,0,1
32779,0,0,1,0,1,0,0
32781,0,0,1,0,0,0,0
32799,0,0,0,0,0,0,0
32891,0,0,0,0,0,0,1
32896,0,0,0,1,0,1,1
32932,0,0,0,1,0,0,1
32943,0,0,0,1,0,0,0
32959,0,0,0,0,0,0,0
33059,0,0,0,0,1,0,0
33061,0,0,1,0,1,0,0
33119,0,0,1,0,0,0,0
33126,0,0,0,0,0,0,0
33226,0,0,0,0,0,0,1
33230,0,0,0,1,0,0,1
33232,0,0,0,1,0,1,1
33261,0,0,0,1,0,0,1
33266,0,0,0,1,0,0,0
33285,0,0,0,0,0,0,0
33381,0,0,0,0,0,0,1
33385,0,1,1,0,0,0,1
33386,1,1,1,0,1,1,1
33433,0,0,1,0,1,0,0
33444,0,0,0,0,0,0,0
33562,0,0,0,1,0,0,0
33564,1,0,0,1,0,0,0
33626,1,0,0,0,0,0,0
33651,1,1,0,0,0,0,0
33661,0,1,0,0,0,0,0
33721,0,0,0,0,0,0,0
33723,0,0,0,0,1,1,0
33734,0,0,1,0,1,1,0
33778,0,0,1,0,1,0,0
33786,0,0,1,0,0,0,0
33811,0,1,1,0,0,0,0
33846,0,1,0,0,0,0,0
33891,1,1,0,0,0,0,0
33895,1,1,0,1,0,1,1
33925,1,0,0,1,0,1,1
33941,1,0,0,1,0,0,1
33945,1,0,0,1,0,0,0
33953,0,0,0,1,0,0,0
33963,0,0,0,0,0,0,0
34063,0,1,1,0,0,0,0
34074,0,1,1,0,1,1,0
34121,0,1,1,0,1,0,0
34126,0,0,0,0,1,0,0
34129,0,0,0,0,0,0,0
34231,0,0,0,1,0,0,0
34233,1,1,0,1,0,0,0
34235,1,1,0,1,0,1,0
34285,0,0,0,1,0,0,0
34309,0,0,0,0,0,0,0
34321,0,0,0,0,1,0,0
34395,0,0,0,0,1,0,1
34404,0,0,0,0,1,1,1
34409,1,0,1,0,1,1,1
34419,1,0,1,0,0,1,1
34457,0,0,1,0,0,1,1
34462,0,0,1,0,0,0,1
34469,0,0,1,0,0,0,0
34477,0,0,0,0,0,0,0
34563,0,0,0,0,0,0,1
34565,0,0,0,0,1,0,1
34569,1,1,0,0,1,0,1
34623,0,1,0,0,1,0,1
34642,0,0,0,0,1,0,1
34648,0,0,0,1,0,1,0
34655,0,0,1,1,0,1,0
34724,0,0,1,0,0,1,0
34729,0,1,1,0,0,1,0
34732,1,1,1,0,0,1,1
34739,1,1,1,0,1,1,1
34745,1,1,0,0,1,1,1
34774,1,1,0,0,1,0,1
34810,0,1,0,0,1,0,1
34815,0,1,0,0,1,0,0
34820,0,1,0,0,0,0,0
34825,0,0,1,0,0,0,0
34827,0,0,1,1,0,0,0
34879,0,0,0,1,0,0,0
34897,0,0,0,1,0,0,1
34905,0,0,0,1,1,0,1
34918,0,0,0,0,1,0,1
34959,0,0,0,0,0,0,1
34972,0,0,0,0,0,0,0
34985,0,1,1,0,0,0,0
35041,0,0,1,0,0,0,0
35049,0,0,0,0,0,0,0
35067,0,0,0,1,0,0,0
