0,488,214
0,702
0,1774,214
0,1988,214
0,2202,357
0,2559,215
0,2774,285
0,3059,357
0,3416,286
0,3702,214
0,3916,286
0,4202,214
0,4416,286
0,4702,214
0,4916,286
0,5202,286
0,5488,214
0,5702,286
0,5988,214
0,6202,286
0,6488,286
0,6774,214
0,6988,214
0,7202,214
0,7416,286
0,7702,214
0,7916,286
0,8202,286
0,8488,214
0,8702,357
0,9059,357
0,9416,358
0,9774,214
0,9988,357
0,10345,286
0,10631,214
0,10845,357
0,11202,357
0,11559,215
0,11774,357
0,12131,214
0,12345,214
0,12559,215
0,12774,214
0,12988,214
0,13202,214
0,13416,143
0,13559,143
0,13702,214
0,13916,215
0,14131,178
0,14309,179
0,14488,321
0,14809,250
0,15059,215
0,15274,214
0,15488,143
0,15631,143
0,15774,142
0,15916,143
0,16059,179
0,16238,214
0,16452,179
0,16631,143
0,16774,142
0,16916,179
0,17095,143
0,17238,143
0,17381,143
0,17524,142
0,17666,250
0,17916,143
0,18059,215
0,18274,178
0,18452,143
0,18595,179
0,18774,142
0,18916,143
0,19059,107
0,19166,143
0,19309,143
0,19452,143
0,19595,179
0,19774,250
0,20024,142
0,20166,143
0,20309,107
0,20416,179
0,20595,143
0,20738,143
0,20881,214
0,21095,143
0,21238,143
0,21381,178
0,21559,215
0,21774,142
0,21916,143
0,22059,179
0,22238,214
0,22452,143
0,22595,179
0,22774,142
0,22916,143
0,23059,143
0,23202,143
0,23345,143
0,23488,214
0,23702,143
0,23845,143
0,23988,143
0,24131,143
0,24274,142
0,24416,179
0,24595,107
0,24702,143
0,24845,179
0,25024,214
0,25238,178
0,25416,143
0,25559,143
0,25702,107
0,25809,143
0,25952,179
0,26131,214
0,26345,143
0,26488,143
0,26631,143
0,26774,142
0,26916,143
0,27059,179
0,27238,143
0,27381,143
0,27524,107
0,27631,143
0,27774,142
0,27916,143
0,28059,143
0,28202,143
0,28345,143
0,28488,107
0,28595,143
0,28738,107
0,28845,143
0,28988,143
0,29131,107
0,29238,143
0,29381,107
0,29488,143
0,29631
1,1023,429
1,1452,393
1,1845,286
1,2131,214
1,2345,286
1,2631,285
1,2916,215
1,3131,214
1,3345,214
1,3559,286
1,3845,214
1,4059,286
1,4345,214
1,4559,215
1,4774,285
1,5059,215
1,5274,357
1,5631,214
1,5845,214
1,6059,286
1,6345,214
1,6559,357
1,6916,215
1,7131,214
1,7345,214
1,7559,215
1,7774,285
1,8059,215
1,8274,357
1,8631,214
1,8845,214
1,9059,215
1,9274,214
1,9488,143
1,9631,285
1,9916,286
1,10202,214
1,10416,358
1,10774,214
1,10988,214
1,11202,214
1,11416,215
1,11631,285
